,0
0,0.3558032229203748
1,0.48575509135704514
2,0.6170952975080006
3,0.47053429338427477
4,0.5745377333099302
5,0.67273290411632
6,0.5719852715941186
7,0.6237768237491047
8,0.6417952461537505
9,0.6322190081477934
10,0.591600394301533
11,0.7240413663920656
12,0.5475462672808972
13,0.7078953722761702
14,0.6160104123265898
15,0.6365917148971927
16,0.6235698607953074
17,0.636629643530837
18,0.6973982323088807
19,0.5617226632274653
20,0.5919441538764662
21,0.6543438298650699
22,0.6545147378954674
23,0.6708961873308963
24,0.7416092213523413
25,0.6909329896446723
26,0.6531006901636143
27,0.6295536220722906
28,0.6162091835624224
29,0.5441547854701694
30,0.5657378314684722
31,0.5492127921108756
32,0.7476291454417573
33,0.7934500562848275
34,0.7752198577827525
35,0.8042471493570077
36,0.6369363325498182
37,0.7320756848238575
38,0.8129370037773446
39,0.8018939398707764
40,0.7776179331124583
41,0.7192860491809119
42,0.6585179949904714
43,0.7136179769776259
44,0.7259936430298903
45,0.769063639323725
46,0.7286218335832362
47,0.8447602764154157
48,0.7695533909044783
49,0.8372547751279977
50,0.805663254341716
51,0.8255472075811776
52,0.9415555175176021
53,0.7920853747740715
54,0.9664027795331329
55,0.8279886175031658
56,1.0030962576413986
57,0.8341903311678919
58,1.0167271522426116
59,0.9643726859758815
60,0.8801712169052395
61,1.0095470580247012
62,0.9695277697978377
63,0.9276895474233121
64,0.9708832546693983
65,1.0340331346001483
66,0.9730038987036786
67,0.9023531568578649
68,0.9618560755612363
69,0.9316443008876321
70,0.8380236551888391
71,0.967086216842662
72,1.0361291754101587
73,0.808839876524314
74,0.7621583663928972
75,0.847303705111098
76,0.8431105963454696
77,0.8340627314403812
78,0.7023105615208254
79,0.7889133512643771
80,0.6288315009265255
81,0.7115356358968721
82,0.7250240803512517
83,0.6805185274217221
84,0.5750120558471212
85,0.5749785652267574
86,0.8436622767409616
87,0.8289815822402441
88,0.6989552729583374
89,0.7659603418898632
90,0.7088349105566768
91,0.7274444665083328
92,0.7939264909360316
93,0.7646444129406115
94,0.7139635335890921
95,0.8198513493879489
